Date,Interest_Rate,Inflation_Rate,Unemployment_Rate
1990-01-01,8.1,4.62,5.67
1990-02-01,8.07,3.53,5.88
1990-03-01,8.2,0.98,5.94
1990-04-01,8.51,2.02,5.93
1990-05-01,8.46,3.77,6.5
1990-06-01,8.41,1.79,6.18
1990-07-01,8.73,2.94,6.85
1990-08-01,8.88,3.27,6.8
1990-09-01,8.79,1.57,6.82
1990-10-01,8.9,2.44,6.6
1990-11-01,8.8,-0.74,6.88
1990-12-01,8.71,1.48,7.65
1991-01-01,8.76,2.25,7.63
1991-02-01,8.38,1.25,7.0
1991-03-01,8.03,4.13,7.64
1991-04-01,7.92,1.07,8.06
1991-05-01,7.72,2.06,6.95
1991-06-01,7.78,2.63,8.15
1991-07-01,7.6,3.94,7.64
1991-08-01,7.31,1.06,8.35
1991-09-01,7.61,3.66,7.76
1991-10-01,7.56,2.51,7.32
1991-11-01,7.58,1.52,7.49
1991-12-01,7.29,2.96,8.4
1992-01-01,7.18,2.7,8.58
1992-02-01,7.2,1.9,8.07
1992-03-01,6.97,2.57,8.9
1992-04-01,7.05,2.11,7.81
1992-05-01,6.93,2.61,8.66
1992-06-01,6.87,3.16,8.14
1992-07-01,6.75,4.09,8.46
1992-08-01,7.12,1.26,8.86
1992-09-01,7.12,4.63,8.44
1992-10-01,6.91,0.55,8.71
1992-11-01,7.07,2.35,9.43
1992-12-01,6.83,3.09,8.67
1993-01-01,6.87,2.78,9.39
1993-02-01,6.48,1.88,8.42
1993-03-01,6.21,2.29,9.26
1993-04-01,6.25,2.01,9.72
1993-05-01,6.4,1.91,7.76
1993-06-01,6.43,3.35,8.6
1993-07-01,6.41,2.86,9.27
1993-08-01,6.35,1.81,8.87
1993-09-01,6.05,3.4,9.14
1993-10-01,5.91,2.81,8.62
1993-11-01,5.82,3.31,8.94
1993-12-01,6.03,3.13,8.79
1994-01-01,6.1,1.67,9.41
1994-02-01,5.75,1.94,8.91
1994-03-01,5.81,3.25,8.91
1994-04-01,5.73,3.11,8.48
1994-05-01,5.6,2.48,8.39
1994-06-01,5.72,2.62,8.36
1994-07-01,5.93,3.78,8.71
1994-08-01,6.11,1.91,8.23
1994-09-01,5.94,3.05,8.51
1994-10-01,5.88,2.3,9.33
1994-11-01,5.95,2.28,8.65
1994-12-01,6.14,3.6,7.97
1995-01-01,6.05,3.33,8.65
1995-02-01,6.01,3.31,7.75
1995-03-01,5.79,3.81,6.85
1995-04-01,5.55,2.52,7.27
1995-05-01,5.71,3.18,6.74
1995-06-01,5.98,2.19,7.4
1995-07-01,5.97,2.82,7.48
1995-08-01,6.17,2.37,8.2
1995-09-01,6.24,2.6,7.42
1995-10-01,6.11,3.1,7.04
1995-11-01,6.19,1.68,7.45
1995-12-01,6.49,4.59,5.82
1996-01-01,6.49,1.49,6.93
1996-02-01,6.8,1.29,7.08
1996-03-01,6.28,3.66,5.84
1996-04-01,6.44,3.29,7.03
1996-05-01,6.46,3.12,6.51
1996-06-01,6.4,3.13,6.01
1996-07-01,6.42,2.49,6.42
1996-08-01,6.02,1.6,7.12
1996-09-01,5.97,2.58,5.95
1996-10-01,6.05,1.82,5.87
1996-11-01,6.34,3.48,5.4
1996-12-01,6.24,2.35,5.08
1997-01-01,6.08,1.67,5.8
1997-02-01,5.98,2.18,4.84
1997-03-01,6.16,2.91,5.19
1997-04-01,6.22,1.94,4.8
1997-05-01,6.12,1.68,5.17
1997-06-01,6.22,2.74,4.99
1997-07-01,6.24,2.74,5.23
1997-08-01,6.43,1.99,4.35
1997-09-01,6.29,2.03,4.36
1997-10-01,6.23,2.73,3.91
1997-11-01,6.15,1.05,4.08
1997-12-01,5.86,1.09,4.39
1998-01-01,5.92,1.78,4.48
1998-02-01,5.97,2.29,3.55
1998-03-01,5.97,2.81,4.36
1998-04-01,5.92,3.98,4.52
1998-05-01,5.64,3.36,3.97
1998-06-01,5.56,2.34,4.62
1998-07-01,5.49,2.48,3.22
1998-08-01,5.33,1.5,3.0
1998-09-01,5.29,2.48,3.0
1998-10-01,5.38,2.21,4.16
1998-11-01,5.75,2.82,3.68
1998-12-01,5.79,1.67,3.27
1999-01-01,5.84,3.02,3.39
1999-02-01,5.82,4.03,3.0
1999-03-01,5.44,2.39,4.38
1999-04-01,5.44,2.9,3.19
1999-05-01,5.45,3.19,3.15
1999-06-01,5.94,2.1,3.43
1999-07-01,5.9,2.72,3.28
1999-08-01,5.96,2.51,3.14
1999-09-01,5.95,2.6,3.0
1999-10-01,5.72,1.73,3.24
1999-11-01,5.95,2.52,3.94
1999-12-01,6.1,3.0,3.67
2000-01-01,6.26,3.95,3.8
2000-02-01,6.08,3.46,3.0
2000-03-01,6.36,4.65,3.0
2000-04-01,6.08,1.73,3.0
2000-05-01,6.19,3.37,3.11
2000-06-01,6.63,2.68,3.65
2000-07-01,6.43,4.69,3.0
2000-08-01,6.32,1.69,3.94
2000-09-01,6.34,1.66,3.14
2000-10-01,6.24,1.9,3.06
2000-11-01,5.93,0.38,3.0
2000-12-01,5.94,1.97,3.0
2001-01-01,5.73,1.74,3.85
2001-02-01,5.83,2.65,3.54
2001-03-01,5.64,2.84,3.0
2001-04-01,5.95,4.38,3.0
2001-05-01,5.8,3.45,3.55
2001-06-01,5.73,1.92,4.63
2001-07-01,5.89,1.6,3.75
2001-08-01,5.65,2.99,3.21
2001-09-01,5.69,1.18,3.93
2001-10-01,5.95,4.33,4.01
2001-11-01,5.63,3.68,3.0
2001-12-01,5.67,2.03,4.31
2002-01-01,5.72,0.79,4.33
2002-02-01,5.88,3.85,4.89
2002-03-01,5.63,2.39,5.58
2002-04-01,5.37,3.74,5.32
2002-05-01,5.47,0.91,4.73
2002-06-01,5.53,1.9,4.43
2002-07-01,5.58,2.51,6.38
2002-08-01,5.65,2.55,5.24
2002-09-01,5.51,2.05,5.33
2002-10-01,5.56,3.12,5.43
2002-11-01,5.62,1.43,5.66
